Population,Latitude,Longitude,Year_start,Year_end,Sex,10/06/2000,13/06/2000,16/06/2000,20/06/2000,23/06/2000,27/06/2000,30/06/2000,4/07/2000,7/07/2000,11/07/2000,14/07/2000,18/07/2000,21/07/2000,24/07/2000,27/07/2000,31/07/2000,3/08/2000,7/08/2000,10/08/2000,14/08/2000,17/08/2000,21/08/2000,24/08/2000,28/08/2000,31/08/2000,4/09/2000,7/09/2000,11/09/2000,14/09/2000,18/09/2000,21/09/2000,25/09/2000,28/09/2000,2/10/2000,5/10/2000,9/10/2000,12/10/2000,16/10/2000,19/10/2000,24/10/2000,26/10/2000,31/10/2000,2/11/2000,6/11/2000,9/11/2000,13/11/2000,16/11/2000,20/11/2000,23/11/2000,28/11/2000,1/12/2000,Total
Melbourne,-37.75,144.96,2000,2000,male,,4,,,,,,,,,,,,,1,,,2,,,,4,,,,,,1,1,,1,,,,,,1,,,,2,,,,,,,,,,,17
Melbourne,-37.75,144.96,2000,2000,male,,1,,,,,1,2,,,,,,,,1,,,,1,,1,,1,,,1,,1,,,,1,,,,1,,1,,,1,,,1,,,1,,,,16
Melbourne,-37.75,144.96,2000,2000,male,,4,,,,,,,,,,,1,,,,,,,3,,,1,,2,3,,,,1,,1,,,,,,,,,,,1,,,,,,,,,17
Melbourne,-37.75,144.96,2000,2000,male,,3,,,,1,,,,,1,3,1,2,,1,1,,,1,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,17
Melbourne,-37.75,144.96,2000,2000,male,,,,,,,,,,,,,2,1,,,,,,1,,1,2,,,,1,,2,1,,,,,,,1,,,1,1,1,,,2,,,,,,,17
Launceston,-41.15,146.89,2000,2000,male,,2,,,,,,,,,,,,1,,3,,,1,,1,2,,,,,2,1,1,,,,,1,,,,2,,,,,,,,,,,,,,17
Launceston,-41.15,146.89,2000,2000,male,,,,,,,,,,1,,,1,,,1,,,,,1,1,2,,,1,,,2,,,,,,,,,4,,,,,1,,1,,,,,,1,17
Launceston,-41.15,146.89,2000,2000,male,,,2,,,,,2,,,,1,,,1,,,,,,1,1,,1,,2,1,,,,,,,1,,1,,,,,,1,,,1,,,,,,,16
Launceston,-41.15,146.89,2000,2000,male,,5,1,,,,,,,,,,2,,,,,1,1,,,,,,,,1,,,,,,,,,,,1,1,,,,4,,,,,,,,,17
Launceston,-41.15,146.89,2000,2000,male,,3,,,,,,1,,,,,,,1,,,1,1,,,,,1,,,,,,1,1,,,2,,,,2,,,1,1,1,,,,,,,,,17
Launceston,-41.15,146.89,2000,2000,male,,,1,,1,,,,,,,,,,,,,,,,,,,1,2,,1,1,1,,1,,,2,,,,2,,,,,,,3,,,,,,,16
Launceston,-41.15,146.89,2000,2000,male,,3,,,,1,,,,,1,,,,1,,,,,1,1,1,,,,1,1,,1,,,,1,3,,,,1,,,,,,,,,,,,,,17
Launceston,-41.15,146.89,2000,2000,male,,,3,1,,,,,1,,,,,,1,,,1,,,,,,,,,1,1,1,1,1,,,,2,3,,,,,,,,,,,,,,,,17
Launceston,-41.15,146.89,2000,2000,male,,,,,,,,,,,2,1,,,,1,1,,,1,,,,1,2,4,,,1,,,,,1,,,,1,,,,,,1,,,,,,,,17
Launceston,-41.15,146.89,2000,2000,male,,3,,,,,,,,,,,,,1,,,,,1,,1,,,,,3,,1,1,1,,,,2,,,,1,,,,2,,,,,,,,,17
Launceston,-41.15,146.89,2000,2000,male,,4,,,,1,,,,,,,,,,,,,,,,,,,1,,2,1,1,,,,,1,1,,1,3,,,,,1,,,,,,,,,17
Launceston,-41.15,146.89,2000,2000,male,,4,,,,,,,,,,,,,1,,,,1,,,,1,,,1,,1,,,2,,,,,1,,1,,,,,1,1,1,,,,,,,16
